product_id;product_name;product_type;description;unit_id;package_type_id;package_size;price_id;minimum_order;sub_industry_sector_id;lead_time;supplier_id;tax_detail_id
10;Clene 101;A;NULL;2;1;1000;10;1000;4;40;8;1
11;Corcoat NC 900;A;NULL;2;1;1000;11;1000;4;40;8;2
12;ACC2;A;NULL;2;1;1000;12;1000;4;40;8;3
13;Cor rinse 42C1;A;NULL;2;1;210;13;210;4;40;8;4
14;Coralube 3002;A;NULL;2;1;1095;14;1095;4;60;8;5
5;Dromus BA EXP;A;NULL;1;1;209;5;209;32776;30;8;6
32768;Cinquasia Red K 4104;A;NULL;1;1;10;32768;0;32772;0;32769;7
32795;Irgazin Orange K 2910 (Cro DPP Orange TRP);A;NULL;1;1;10;32795;0;32772;0;32769;8
32789;Sicotan Yellow K 1010;A;NULL;1;1;10;32789;0;32772;0;32769;9
32790;Irgalite Orange K 2925 (F2G);A;NULL;1;1;10;32790;0;32772;0;32769;10
32791;Sicopal Brown K 2592;A;NULL;1;1;10;32791;0;32772;0;32769;11
32792;Microlen Blue 6480 MC (A3R MC);A;NULL;1;1;10;32792;0;32772;0;32769;12
6;Macron 205 M8;A;NULL;1;1;209;6;209;32776;0;8;13
7;Hocut B50S (205L);A;NULL;1;1;205;7;205;32776;30;8;14
8;Hocut B50S (20L);A;NULL;1;1;20;8;20;32776;0;8;15
9;Punching Oil BS (20L);A;NULL;1;1;20;9;20;32776;30;8;16
15;Garia 404 M10;A;NULL;1;1;209;15;209;32776;30;8;17
16;Houghto Grind 50 (205L);A;NULL;1;1;205;16;205;32776;0;8;18
17;Fenella Oil B2885;A;NULL;1;1;208;17;209;32776;75;8;19
18;Fenella Oil D11401;A;NULL;1;1;209;18;209;32776;75;8;20
19;Macron 401 F32;A;NULL;1;1;209;19;209;32776;30;8;21
20;Rust Veto H601 (205L);A;NULL;1;1;205;20;205;32776;30;8;22
21;Rust Veto H601 (20L);A;NULL;1;1;20;21;20;32776;30;8;23
22;Cindol 3411 (200L);A;NULL;1;1;200;22;200;32776;30;8;24
24;Houghto Safe 620 (205L);A;NULL;1;1;205;24;205;32776;30;8;25
28;Houghto Grind 60 (20L);A;NULL;1;1;20;28;20;32776;30;8;26
27;Macron EDM 110;A;NULL;1;1;209;27;209;32776;30;8;27
